OBJECTID,NA_ID,ACRES,NA_NAME,OWNER,R_RATING,C_RATING,TOP_RATING,DATA_DATE
1287,2599,226.66,Marlowe Creek Slopes,PRV,R3 (High),C4 (Moderate),High,2021/01/22
1288,2615,97.51,Chappels Creek Flats,PRV,R3 (High),C5 (General),High,2021/01/22
1289,2616,5.78,Deep Creek Floodplain Pools,PRV,R5 (General),C5 (General),General,2021/01/22
1290,2614,90.53,South Flat River Outcrops,PRV,R3 (High),C4 (Moderate),High,2021/01/22
1291,2613,9.99,Timberlake Hardpan Forest,PRV,R5 (General),C5 (General),General,2021/01/22
1292,2611,131.41,Hurdle Mills Flats,PRV,R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
1293,2612,3.95,Satterfield Road Rare Plant Site,PRV,R2 (Very High),C5 (General),Very High,2021/01/22
1294,2893,140.77,River Oaks Preserve,SALT,R3 (High),C5 (General),High,2021/01/22
1295,869,200.64,Rock House Creek Slopes,PRV,R3 (High),C4 (Moderate),High,2021/01/22
1296,2435,201.84,Bovender Farm,PRV,R2 (Very High),C5 (General),Very High,2021/01/22
1297,2420,1519.32,Edmondson Mountain,"FCNC, PRV, USFS",R3 (High),C4 (Moderate),High,2021/01/22
1298,3229,129.77,Sunnyvale Slopes,PRV,R5 (General),C5 (General),General,2021/01/22
1299,2671,38.48,Haw River Bur-Reed Floodplain,PRV,R5 (General),C5 (General),General,2021/01/22
1300,2676,47.29,Swann Juniper Creek Forest,PRV,R5 (General),C5 (General),General,2021/01/22
1301,2678,8.08,Lake Brandt Slopes,LOCAL,R5 (General),C5 (General),General,2021/01/22
1302,2365,226.54,Red Mountain/Flat River Slopes,PRV,R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
1303,2621,347.72,Smith Grove Ravines,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
1304,2686,69.63,Log Cabin Road Slopes,PRV,R5 (General),C5 (General),General,2021/01/22
1305,2714,238.57,Tate Road Forest,PRV,R5 (General),C5 (General),General,2021/01/22
1306,2718,283.78,Walnut Creek Bottomland Forests,"LOCAL, PRV",R5 (General),C5 (General),General,2021/01/22
1307,367,223.12,NEU/Middle Creek Aquatic Habitat,PW,R3 (High),C3 (High),High,2021/01/22
1308,2748,340.35,Townsendville Road Flatwoods,PRV,R1 (Exceptional),C4 (Moderate),Exceptional,2021/01/22
1309,2746,555.62,O'Quinn Road Flatwoods and Bays,PRV,R1 (Exceptional),C4 (Moderate),Exceptional,2021/01/22
1310,420,10859.59,Buffalo Cove Forests,"NCWRC, PRV",R2 (Very High),C3 (High),Very High,2021/01/22
1311,2815,182.88,Upper Yadkin/Stone Mountain Outcrop,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
1312,1021,418.47,Winnabow Savanna and Sandhill,PRV,R3 (High),C3 (High),High,2021/01/22
1313,199,186.01,UNC-Wilmington Longleaf Pine Forest,UNCW,R2 (Very High),C3 (High),Very High,2021/01/22
1314,988,3516.98,Fishing Creek/Enfield Bottomland,"NCWRC, PRV",R2 (Very High),C3 (High),Very High,2021/01/22
1315,673,28.1,Second Creek Slopes,PRV,R5 (General),C5 (General),General,2021/01/22
1316,879,134.13,Polecat Creek/Salem Tributary Natural Area,PRV,R2 (Very High),C5 (General),Very High,2021/01/22
1317,874,1061.87,Rabontown Limesinks,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
1318,496,460.58,River Road Hardwoods,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
1319,428,15480.53,Roanoke River Delta--Conaby Creek,"TNC, USFWS",R1 (Exceptional),C3 (High),Exceptional,2021/01/22
1320,391,300.47,Julian Price Park Wetlands Natural Area,USNPS,R2 (Very High),C3 (High),Very High,2021/01/22
1321,923,10679.78,Linville Gorge and Falls,USFS,R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
1322,2731,599.37,Folkstone Savannas,"NCWRC, PRV",R3 (High),C3 (High),High,2021/01/22
1323,2732,374.66,West Roanoke Island Marshes,"NCWRC, PRV",R5 (General),C5 (General),General,2021/01/22
1324,766,13681.48,Horseshoe Lake (Suggs Mill Pond) and Marshy Bay,"NCWRC, PRV",R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
1325,157,1156.22,David Gam Bay,"NCFS, PRV",R5 (General),C4 (Moderate),Moderate,2021/01/22
1326,803,3811.3,Brunswick River/Cape Fear River Marshes,"LOCAL, NCDOT, NCPA, PRV, SWCD, USACE",R1 (Exceptional),C2 (Very High),Exceptional,2021/01/22
1327,2018,258.5,Lennons Bridge Flatwoods,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
1328,1328,598.09,Big Swamp/Old Whiteville Road,PRV,R3 (High),C4 (Moderate),High,2021/01/22
1329,534,3142.5,Ashpole Swamp/Flat Swamp Confluence,PRV,R3 (High),C4 (Moderate),High,2021/01/22
1330,1368,226.89,Parkers Creek Ridges,USACE,R5 (General),C5 (General),General,2021/01/22
1331,747,302.06,Indian Woods/Broadneck Swamp,PRV,R3 (High),C4 (Moderate),High,2021/01/22
1332,952,52.05,Hightower Flatrocks,PRV,R1 (Exceptional),C3 (High),Exceptional,2021/01/22
1333,1008,92.94,Bacchus Spiraea Sites,PRV,R1 (Exceptional),C5 (General),Exceptional,2021/01/22
1334,583,2582.21,Black River Cypress Swamp,"LOCAL, PRV, TNC",R1 (Exceptional),C3 (High),Exceptional,2021/01/22
1335,1019,329.31,Reedy Creek Hardwood Forests,PRV,R3 (High),C5 (General),High,2021/01/22
1336,599,7336.53,South Mountains Jacob Fork Watershed,NCDPR,R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
1337,1068,276246.3,Great Smoky Mountains National Park,USNPS,R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
1338,618,951.31,Upper Densons Creek and Abner Mountain,"PRV, USFS",R2 (Very High),C3 (High),Very High,2021/01/22
1339,1073,1603.16,Waccamaw River Cross Swamp Bottomlands,"NCWRC, PRV",R1 (Exceptional),C3 (High),Exceptional,2021/01/22
1340,482,34.23,Crabtree Creek/Ebenezer Church Road Slopes,PRV,R5 (General),C5 (General),General,2021/01/22
1341,1038,238.05,Linville Caverns,PRV,R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
1342,1623,30.74,Muddy Creek Bog and Slopes,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
1343,2072,64.43,Bethania Forest,PRV,R5 (General),C5 (General),General,2021/01/22
1344,2733,34.67,Walnut Bluffs,NCDNCR,R5 (General),C5 (General),General,2021/01/22
1345,2734,5481.41,White Marsh Swamp,PRV,R2 (Very High),C5 (General),Very High,2021/01/22
1346,129,545.42,TAR/Swift Creek Aquatic Habitat,PW,R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
1347,179,445.98,Brindletown Forests,"NCWRC, PRV",R3 (High),C3 (High),High,2021/01/22
1348,1770,880.32,Jacob Fork West Corridor,PRV,R2 (Very High),C3 (High),Very High,2021/01/22
1349,807,5.2,Eno River Blue Wild Indigo Slope,ERA,R3 (High),C4 (Moderate),High,2021/01/22
1350,2736,241.74,Richmond Hill Forest,"LOCAL, PRV",R3 (High),C4 (Moderate),High,2021/01/22
1351,2026,1251.82,Warwick Mill Bay,PRV,R3 (High),C4 (Moderate),High,2021/01/22
1352,628,47.53,Cypress Bay,PRV,R4 (Moderate),C5 (General),Moderate,2021/01/22
1353,1833,52.7,Gum Pond Bay,PRV,R3 (High),C4 (Moderate),High,2021/01/22
1354,590,48.33,Salt Marsh Bay,PRV,R1 (Exceptional),C4 (Moderate),Exceptional,2021/01/22
1355,1349,548.47,Goose Pond Bay,"PRV, TNC",R2 (Very High),C3 (High),Very High,2021/01/22
1356,1408,85.63,Oak Savanna Bay,"PRV, TNC",R2 (Very High),C3 (High),Very High,2021/01/22
1357,311,1347.91,Richardson Bridge Bottomlands,PRV,R3 (High),C4 (Moderate),High,2021/01/22
1358,825,14.14,Franklin Wetland,"NCDOT, NCWRC, PRV",R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
1359,1997,2504.27,Flat River Slopes above Lake Michie,"LOCAL, NCSU, PRV",R2 (Very High),C4 (Moderate),Very High,2021/01/22
1360,938,903.87,McLean Savanna,"PRV, TNC",R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
1361,3198,4.02,St. Andrews Bay,PRV,R3 (High),C5 (General),High,2021/01/22
1362,1425,37.74,Bear Creek/Wolf Creek Slopes,PRV,R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
1363,1701,2226.3,Eno River/Cates Ford Slopes and Uplands,"NCDPR, PRV",R2 (Very High),C3 (High),Very High,2021/01/22
1364,1509,449.84,Celo Community Natural Area,PRV,R1 (Exceptional),C2 (Very High),Exceptional,2021/01/22
1365,1692,171.22,East Jackson Creek Forest,PRV,R5 (General),C5 (General),General,2021/01/22
1366,1705,106.68,Mudham Road Beaver Ponds,PRV,R5 (General),C5 (General),General,2021/01/22
1367,1680,28.74,Rocky Creek Rock Outcrop,PRV,R5 (General),C5 (General),General,2021/01/22
1368,1637,235.67,Jacob Fork East Corridor,PRV,R5 (General),C5 (General),General,2021/01/22
1369,1409,4047,Great Coharie Creek Swamp,NCDMS,R2 (Very High),C4 (Moderate),Very High,2021/01/22
1370,1221,2778.52,Fishing Creek Floodplain Forest,"NCWRC, PRV",R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
1371,1121,21253.75,Juniper Creek Floodplain,"NCWRC, PRV",R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
1372,1269,1477.09,Waccamaw River Oxbow Site,PRV,R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
1373,1732,22.49,Sally Simmons Limestone Ledge,PRV,R2 (Very High),C5 (General),Very High,2021/01/22
1374,1176,10487.77,Cane River Upper Watershed,"CLC, NCDPR, PRV, SAHC",R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
1375,1186,84.58,Arnett Branch Longleaf Pine Forest,NCZOO,R2 (Very High),C5 (General),Very High,2021/01/22
1376,1792,614.94,Big Fall Creek/Melrose Mountain North,"LOCAL, NCPCP, PRV",R1 (Exceptional),C4 (Moderate),Exceptional,2021/01/22
1377,1574,313.52,Walker Cove,USFS,R2 (Very High),C3 (High),Very High,2021/01/22
1378,2778,5658.65,Wilson Creek Gorge,"PRV, USFS",R1 (Exceptional),C3 (High),Exceptional,2021/01/22
1379,408,2074.19,Chattooga River Gorge/Ellicott Rock,USFS,R1 (Exceptional),C2 (Very High),Exceptional,2021/01/22
1380,2017,10.52,Ochlawaha Bog,"CMLC, NCPCP, PRV",R2 (Very High),C4 (Moderate),Very High,2021/01/22
1381,1916,227.15,Runaway Knob,USFS,R3 (High),C4 (Moderate),High,2021/01/22
1382,707,2986.77,Shining Rock Wilderness Area,USFS,R2 (Very High),C1 (Exceptional),Exceptional,2021/01/22
1383,2759,2539.59,Boone Fork--Mulberry Creek,"PRV, USFS",R2 (Very High),C4 (Moderate),Very High,2021/01/22
1384,701,1734.38,Looking Glass Rock,USFS,R1 (Exceptional),C3 (High),Exceptional,2021/01/22
1385,3177,6837.05,Fires Creek Ridgeline,USFS,R3 (High),C3 (High),High,2021/01/22
1386,752,1571.19,Terrapin Mountain,USFS,R2 (Very High),C3 (High),Very High,2021/01/22
1387,778,15276.14,Scuppernong River Swamp Forest,"NCDPR, PRV, USFWS",R2 (Very High),C2 (Very High),Very High,2021/01/22
1388,174,35.16,Toms Creek Natural Area,PRV,R1 (Exceptional),C5 (General),Exceptional,2021/01/22
1389,3179,27.89,Tar River/Belltown Road Slopes,PRV,R5 (General),C5 (General),General,2021/01/22
1390,2239,80.99,Tar River Fern Slopes,PRV,R5 (General),C5 (General),General,2021/01/22
1391,733,2195.92,Shocco Creek Bluffs and Floodplain,"NCWRC, PRV, TRLC",R2 (Very High),C2 (Very High),Very High,2021/01/22
1392,3180,156.98,Ledge Creek/Holman Creek Slopes,PRV,R3 (High),C4 (Moderate),High,2021/01/22
1393,78,372.78,Cape Hatteras Point,USNPS,R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
1394,844,4194.64,Buxton Woods,"NCDCM, PRV, USNPS",R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
1395,515,1795.47,NEW/South Fork New and New River Aquatic Habitat,PW,R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
1396,182,2134.78,Figure Eight Island Marsh,"NENHC, PRV",R2 (Very High),C3 (High),Very High,2021/01/22
1397,1457,1489.2,Cokey Swamp,"NCDA, PRV",R5 (General),C5 (General),General,2021/01/22
1398,473,1713.32,New River Swamps and Marshes,"LOCAL, PRV, TNC",R2 (Very High),C5 (General),Very High,2021/01/22
1399,1618,1167.12,Hannah Creek Swamp,PRV,R5 (General),C5 (General),General,2021/01/22
1400,1956,2056.68,Camp Lejeune Southwest Creek,USDOD,R1 (Exceptional),C3 (High),Exceptional,2021/01/22
1401,1795,19569.91,Green Swamp,"NCWRC, PRV, TNC",R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
1402,477,15529.71,Hofmann Forest White Oak Pocosin,NCFF,R5 (General),C5 (General),General,2021/01/22
1403,679,35.45,Fourth Creek Magnolia Slope,PRV,R3 (High),C5 (General),High,2021/01/22
1404,776,1977.71,Big Flatty Creek Forests and Marshes,PRV,R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
1405,1355,329.24,Zion Church/Eastern Gold Hill Flatwoods,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
1406,1991,149.17,Red Bud Creek Slopes,PRV,R4 (Moderate),C5 (General),Moderate,2021/01/22
1407,261,17866.61,Rollins/South Mountains Natural Area,"NCWRC, PRV",R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
1408,713,2250.34,Lone Mountain Natural Area,"NCDMS, NCWRC, PRV",R2 (Very High),C2 (Very High),Very High,2021/01/22
1409,1713,6591.48,Grandfather Mountain,"NCDPR, TNC, USFS, USNPS",R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
1410,1403,12462.22,Roan Mountain Massif,"PRV, SAHC, TNC, USFS",R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
1411,16,3237.13,Alarka Laurel,USFS,R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
1412,3176,2948.12,Western Valley River Mountains,USFS,R3 (High),C2 (Very High),Very High,2021/01/22
1413,1330,296.45,Endor Iron Furnace Natural Area,"NCDNCR, PRV",R4 (Moderate),C5 (General),Moderate,2021/01/22
1414,345,1075.26,White Spring Ponds Complex,"NCWRC, PRV, USDOD",R2 (Very High),C1 (Exceptional),Exceptional,2021/01/22
1415,882,17.67,Elk Mountain/Roaring Gap,USNPS,R3 (High),C3 (High),High,2021/01/22
1416,857,27508.98,Boiling Spring Lakes Wetland Complex,"NCPCP, PRV, TNC",R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
1417,3036,446.47,Barrett Mountain,PRV,R5 (General),C5 (General),General,2021/01/22
1418,1640,134.02,Satulah Mountain,"HCLT, PRV, USFS",R2 (Very High),C3 (High),Very High,2021/01/22
1419,2972,199.22,Grindstone Knob/Cedar Knob,PRV,R4 (Moderate),C3 (High),High,2021/01/22
1420,1798,9323.04,Yellow Mountain/Raven Cliffs,PRV,R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
1421,3161,4.4,Little Brasstown Creek Floodplain,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
1422,2532,1426.87,Pittsboro Wilderness,PRV,R5 (General),C5 (General),General,2021/01/22
1423,1505,1180.66,Haw River Levees and Bluffs,"NCDPR, PRV, USACE",R2 (Very High),C4 (Moderate),Very High,2021/01/22
1424,2716,546.02,Troublesome Creek/Benaja Creek Wetlands and Slopes,PRV,R5 (General),C5 (General),General,2021/01/22
1425,2130,652.3,Moores Springs North Bluff,"NCDPR, PRV",R5 (General),C4 (Moderate),Moderate,2021/01/22
1426,1254,1713.79,Smith Mountain/Hildebran Mountain,PRV,R5 (General),C5 (General),General,2021/01/22
1427,1500,213.82,Mitchells Mill State Natural Area,"LOCAL, NCDPR, PRV",R2 (Very High),C3 (High),Very High,2021/01/22
1428,2197,207.47,Eno River Mesic Slopes and Floodplain,"DUKE, LOCAL",R5 (General),C5 (General),General,2021/01/22
1429,2752,483.19,Big Crabtree Creek Wetlands,PRV,R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
1430,650,197.17,Warwick Creek Oak Flats and Slopes,PRV,R5 (General),C5 (General),General,2021/01/22
1431,2806,1215.55,Toxaway River Headwaters,PRV,R2 (Very High),C2 (Very High),Very High,2021/01/22
1432,2825,8.81,English Chapel Wetland,USFS,R5 (General),C5 (General),General,2021/01/22
1433,2829,95.57,Merrill Creek Ridge,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
1434,2833,3.08,Bird Rock Falls,"PRV, USFS",R5 (General),C4 (Moderate),Moderate,2021/01/22
1435,2834,5.8,East Fork French Broad River Slopes,PRV,R5 (General),C5 (General),General,2021/01/22
1436,2837,54.39,Duncan Mountain,PRV,R3 (High),C4 (Moderate),High,2021/01/22
1437,2831,707.04,Funneltop Mountain,USFS,R5 (General),C5 (General),General,2021/01/22
1438,2895,243.46,Maple Branch Floodplain Forest,"NCWRC, PRV",R3 (High),C5 (General),High,2021/01/22
1439,2896,35.53,Flat Branch Hardpan,LOCAL,R3 (High),C4 (Moderate),High,2021/01/22
1440,2894,91.06,Fishing Creek Fern Slopes,NCWRC,R3 (High),C5 (General),High,2021/01/22
1441,2709,20.96,Smith River Bluffs,PRV,R3 (High),C4 (Moderate),High,2021/01/22
1442,2867,35.38,Farmington Forest,PRV,R5 (General),C5 (General),General,2021/01/22
1443,1360,1280.8,Bald Head Island,"NCDCM, NCDPR, PRV",R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
1444,2898,58.01,Warf Airfield Forest,PRV,R5 (General),C5 (General),General,2021/01/22
1445,2066,326.2,Hall Knob,"FCNC, PRV",R3 (High),C3 (High),High,2021/01/22
1446,1388,121.58,Sea Gate Woods,NCCLT,R5 (General),C5 (General),General,2021/01/22
1447,2169,119.75,North Edwards Ridge,PRV,R5 (General),C5 (General),General,2021/01/22
1448,1944,7848.7,Chowan Sand Banks,"NCWRC, PRV",R1 (Exceptional),C3 (High),Exceptional,2021/01/22
1449,1648,625.17,Minzies Pond,"PRV, USDOD",R3 (High),C4 (Moderate),High,2021/01/22
1450,672,1767.45,Little Flatty Creek Forests and Marsh,PRV,R4 (Moderate),C3 (High),High,2021/01/22
1451,421,3728.66,Buckskin Creek/Great Swamp,PRV,R3 (High),C4 (Moderate),High,2021/01/22
1452,2170,180.23,Cub Creek Forests and Beaver Ponds,PRV,R5 (General),C5 (General),General,2021/01/22
1453,3199,104.1,Knoll Ridge,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
1454,2140,488.99,Tar River/Triassic Basin Floodplain,PRV,R3 (High),C5 (General),High,2021/01/22
1455,2216,114.24,Tar River/Lynch Creek Floodplain,PRV,R3 (High),C4 (Moderate),High,2021/01/22
1456,895,81.23,TAR/Cedar Creek Aquatic Habitat,PW,R5 (General),C5 (General),General,2021/01/22
1457,980,266.34,NEU/Eno River Aquatic Habitat,PW,R2 (Very High),C3 (High),Very High,2021/01/22
1458,560,339.61,FRB/Cane River Aquatic Habitat,PW,R2 (Very High),C2 (Very High),Very High,2021/01/22
1459,255,148.62,ROA/Country Line Creek Aquatic Habitat,PW,R2 (Very High),C4 (Moderate),Very High,2021/01/22
1460,1201,37.76,YAD/Caraway Creek Aquatic Habitat,PW,R5 (General),C4 (Moderate),Moderate,2021/01/22
1461,567,54.74,YAD/Densons Creek Aquatic Habitat,PW,R4 (Moderate),C3 (High),High,2021/01/22
1462,1586,66.68,YAD/Dutch Buffalo Creek Aquatic Habitat,PW,R5 (General),C4 (Moderate),Moderate,2021/01/22
1463,976,2727.61,LBR/Ashpole Swamp Aquatic Habitat,PW,R3 (High),C5 (General),High,2021/01/22
1464,1498,1011.55,LBR/Drowning Creek Aquatic Habitat,PW,R2 (Very High),C4 (Moderate),Very High,2021/01/22
1465,777,822.43,TAR/Fishing Creek Aquatic Habitat,PW,R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
1466,1047,123.25,BRD/First Broad River Headwaters Aquatic Habitat,PW,R1 (Exceptional),C4 (Moderate),Exceptional,2021/01/22
1467,1150,265.02,NEU/Flat River Aquatic Habitat,PW,R1 (Exceptional),C3 (High),Exceptional,2021/01/22
1468,1858,677.04,TAR/Middle Tar River Aquatic Habitat,PW,R2 (Very High),C2 (Very High),Very High,2021/01/22
1469,2828,726.13,Soapstone Ridge,USFS,R3 (High),C4 (Moderate),High,2021/01/22
1470,2830,798.86,Laurel Creek Headwaters,"NCFS, PRV",R3 (High),C4 (Moderate),High,2021/01/22
1471,2827,618.53,Tarkiln Mountain/Three Forks Mountain,PRV,R4 (Moderate),C5 (General),Moderate,2021/01/22
1472,2843,43.05,Black Mountain Overlook Natural Area,"PRV, USNPS",R3 (High),C5 (General),High,2021/01/22
1473,2844,9.43,Crabtree Creek Falls Natural Area,USNPS,R5 (General),C5 (General),General,2021/01/22
1474,3196,432.28,Graveyard Creek Forests,LOCAL,R5 (General),C4 (Moderate),Moderate,2021/01/22
1475,3226,88.7,Big Spring Creek Slopes,PRV,R5 (General),C3 (High),High,2021/01/22
1476,2880,329.31,Bachelor Creek Slopes,NCZOO,R5 (General),C5 (General),General,2021/01/22
1477,61,143.93,Mill Creek Cypress Forest,PRV,R5 (General),C5 (General),General,2021/01/22
1478,46,91.13,Densons Creek Slopes,"LOCAL, NCPCP, PRV",R5 (General),C5 (General),General,2021/01/22
1479,27,188.19,Shepard Hill Road Forests and Beaver Ponds,PRV,R5 (General),C5 (General),General,2021/01/22
1480,1200,216.52,Bush Creek Marshes,"PRV, USACE",R5 (General),C5 (General),General,2021/01/22
1481,2167,164.83,Little Terrells Creek Bottomland Forest,PRV,R4 (Moderate),C5 (General),Moderate,2021/01/22
1482,490,9151.02,Lower Black River Swamp,"NCWRC, PRV, TNC",R1 (Exceptional),C3 (High),Exceptional,2021/01/22
1483,2536,244.62,Wood's Mill Bend,PRV,R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
1484,1271,2802.85,Hibbs Road Pine Ridges,USFS,R2 (Very High),C2 (Very High),Very High,2021/01/22
1485,2376,16.51,Epps-Martin Road Upland Forest,PRV,R5? (General?),C5 (General),General,2021/01/22
1486,2768,3.66,Little Gunpowder Creek Rare Plant Site 1,"NCDOT, PRV",R5 (General),C5 (General),General,2021/01/22
1487,2769,3.64,Little Gunpowder Creek Rare Plant Site 2,"NCDOT, PRV",R5 (General),C5 (General),General,2021/01/22
1488,2770,401.04,Mills Knob,"PRV, USFS",R5 (General),C5 (General),General,2021/01/22
1489,2772,1095.25,Pack Hill/Thunderhole Creek,"PRV, USFS",R5 (General),C5 (General),General,2021/01/22
1490,2773,7,Patterson Wetland,"NCDOT, PRV",R3 (High),C4 (Moderate),High,2021/01/22
1491,2775,395.05,Racket Creek Slopes,"NCFS, USFS",R5 (General),C5 (General),General,2021/01/22
1492,644,156.91,Rosindale Longleaf Pine Forest,PRV,R2 (Very High),C2 (Very High),Very High,2021/01/22
1493,2845,1376.64,Lumber River Swamp/Avent Landing,"NCDPR, PRV",R3 (High),C5 (General),High,2021/01/22
1494,2791,461.75,Eagle's Nest/Hart Branch,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
1495,2848,75.08,Woodfin Falls,"PRV, USNPS",R2 (Very High),C4 (Moderate),Very High,2021/01/22
1496,2854,8.15,Sugar Creek Ridge Boulderfield,PRV,R5 (General),C5 (General),General,2021/01/22
1497,1532,120.57,Gause Savanna,PRV,R5 (General),C5 (General),General,2021/01/22
1498,533,208.7,East Belews Creek Watershed,PRV,R5 (General),C5 (General),General,2021/01/22
1499,1924,757.62,Wyanoke Sandhills,PRV,R1 (Exceptional),C3 (High),Exceptional,2021/01/22
1500,2001,123.6,Mayo River Anglin Mill Bluffs,"NCDPR, PRV",R2 (Very High),C4 (Moderate),Very High,2021/01/22
1501,1306,38.13,Pretty Pond Bay,"PRV, TNC",R2 (Very High),C3 (High),Very High,2021/01/22
1502,1522,1108.98,Cove Creek/Bradley Falls,NCWRC,R2 (Very High),C3 (High),Very High,2021/01/22
1503,2679,28.4,Lake Higgins Forest,LOCAL,R2 (Very High),C5 (General),Very High,2021/01/22
1504,2680,5.11,Laurel Bluff Ravine,PRV,R4 (Moderate),C5 (General),Moderate,2021/01/22
1505,2681,115.86,Lawrenceville Ephemeral Pools,USFS,R5 (General),C5 (General),General,2021/01/22
1506,2689,18.63,Mebane Bridge Slope,PRV,R5 (General),C5 (General),General,2021/01/22
1507,2694,7.02,Narrow Ridge White Cedar Forest,PRV,R5 (General),C5 (General),General,2021/01/22
1508,2699,249.75,Pilot Mountain Forests,PRV,R5 (General),C5 (General),General,2021/01/22
1509,296,113.62,Yeopim Creek Oak Slopes,PRV,R5 (General),C5 (General),General,2021/01/22
1510,1003,39.43,Bina Rich Slope,PRV,R3 (High),C4 (Moderate),High,2021/01/22
1511,2820,29.03,Jesse Slagle Knoll,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
1512,1762,41.56,Mountain Island Lake Dam Rare Plant Sites,"CLC, PRV",R4 (Moderate),C5 (General),Moderate,2021/01/22
1513,2528,56.65,Haw River Dicentra Slopes,PRV,R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
1514,1624,13.05,Obids Creek Wetlands,PRV,R3 (High),C4 (Moderate),High,2021/01/22
1515,2819,3.07,Hartness Meadow,PRV,R5 (General),C5 (General),General,2021/01/22
1516,2722,10.79,Long Beach Maritime Forest,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
1517,2846,5.48,Flat Creek Wetlands,PRV,R5 (General),C5 (General),General,2021/01/22
1518,2847,33.35,Cold Creek Falls,PRV,R5 (General),C5 (General),General,2021/01/22
1519,2852,12.41,Beta Wetland,PRV,R5 (General),C5 (General),General,2021/01/22
1520,2860,20.68,South Yadkin Beech Slopes,PRV,R5? (General?),C5 (General),General,2021/01/22
1521,2865,138.48,Point Road Forest,LTCNC,R5 (General),C5 (General),General,2021/01/22
1522,2858,26.7,No Creek Road Forest,PRV,R5 (General),C5 (General),General,2021/01/22
1523,2866,18.96,Foster Dairy Forest,PRV,R5? (General?),C5 (General),General,2021/01/22
1524,1930,59.55,Moccasin Creek Wetlands,PRV,R3 (High),C4 (Moderate),High,2021/01/22
1525,1996,1741.76,Medoc Mountain State Park,NCDPR,R3 (High),C3 (High),High,2021/01/22
1526,1889,3086.56,Pleasant Oaks/Goose Landing Plantations,PRV,R2 (Very High),C3 (High),Very High,2021/01/22
1527,1914,44.69,Eno River Diabase Sill,NCPCP,R1 (Exceptional),C2 (Very High),Exceptional,2021/01/22
1528,38,642.06,Flat River Slopes below Lake Michie,"LOCAL, PRV, USACE",R5 (General),C5 (General),General,2021/01/22
1529,301,237.01,Gate 4 Mafic Forests,DUKE,R5 (General),C4 (Moderate),Moderate,2021/01/22
1530,2110,204.99,Gate 9 Pond,DUKE,R2 (Very High),C4 (Moderate),Very High,2021/01/22
1531,2069,41.75,Bennett Place Forest,NCDNCR,R5 (General),C4 (Moderate),Moderate,2021/01/22
1532,22,129.39,Hill Forest Chestnut Oak/Shortleaf Pine Forest,"NCSU, PRV",R2 (Very High),C5 (General),Very High,2021/01/22
1533,1393,166.34,Green Branch Sandhills,PRV,R5 (General),C5 (General),General,2021/01/22
1534,17,5.13,Sunnyside Meadow,PRV,R5? (General?),C? (Unranked),Unranked,2021/01/22
